Approved_symbol,HGNC_ID,Approved_symbol,Chromosome,Locus_group,Locus_type,HGNC_family_name,Date_symbol_changed,Ensembl_gene_ID,NCBI_gene_ID,UniProt_accession
CLNK,HGNC:17438,CLNK,4,protein-coding gene,gene with protein product,,,ENSG00000109684,116449,Q7Z7G1
CLNS1A,HGNC:2080,CLNS1A,11,protein-coding gene,gene with protein product,,,ENSG00000074201,1207,P54105
CLNS1AP1,HGNC:2081,CLNS1AP1,6,pseudogene,pseudogene,,2010-12-17,ENSG00000213335,1204,
CLOCK,HGNC:2082,CLOCK,4,protein-coding gene,gene with protein product,,,ENSG00000134852,9575,O15516
CLP1,HGNC:16999,CLP1,11,protein-coding gene,gene with protein product,,,ENSG00000172409,10978,Q92989
CLPB,HGNC:30664,CLPB,11,protein-coding gene,gene with protein product,,,ENSG00000162129,81570,Q9H078
CLPP,HGNC:2084,CLPP,19,protein-coding gene,gene with protein product,,,ENSG00000125656,8192,Q16740
CLPS,HGNC:2085,CLPS,6,protein-coding gene,gene with protein product,,,ENSG00000137392,1208,P04118
CLPSL1,HGNC:21251,CLPSL1,6,protein-coding gene,gene with protein product,,2012-02-06,ENSG00000204140,340204,A2RUU4
CLPSL2,HGNC:21250,CLPSL2,6,protein-coding gene,gene with protein product,,2012-02-06,ENSG00000196748,389383,Q6UWE3
CLPTM1,HGNC:2087,CLPTM1,19,protein-coding gene,gene with protein product,,,ENSG00000104853,1209,O96005
CLPTM1L,HGNC:24308,CLPTM1L,5,protein-coding gene,gene with protein product,,,ENSG00000049656,81037,Q96KA5
CLPTM1LP1,HGNC:49023,CLPTM1LP1,1,pseudogene,pseudogene,,,ENSG00000271036,106480241,
CLPX,HGNC:2088,CLPX,15,protein-coding gene,gene with protein product,,,ENSG00000166855,10845,O76031
CLRN1,HGNC:12605,CLRN1,3,protein-coding gene,gene with protein product,,2006-11-23,ENSG00000163646,7401,P58418
CLRN1-AS1,HGNC:30895,CLRN1-AS1,3,non-coding RNA,"RNA, long non-coding",,2011-04-28,ENSG00000239265,116933,
CLRN2,HGNC:33939,CLRN2,4,protein-coding gene,gene with protein product,,,ENSG00000249581,645104,A0PK11
CLRN3,HGNC:20795,CLRN3,10,protein-coding gene,gene with protein product,,2006-11-23,ENSG00000180745,119467,Q8NCR9
CLSPN,HGNC:19715,CLSPN,1,protein-coding gene,gene with protein product,,,ENSG00000092853,63967,Q9HAW4
CLSTN1,HGNC:17447,CLSTN1,1,protein-coding gene,gene with protein product,,,ENSG00000171603,22883,O94985
CLSTN2,HGNC:17448,CLSTN2,3,protein-coding gene,gene with protein product,,,ENSG00000158258,64084,Q9H4D0
CLSTN2-AS1,HGNC:49095,CLSTN2-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000250433,101927808,
CLSTN3,HGNC:18371,CLSTN3,12,protein-coding gene,gene with protein product,,,ENSG00000139182,9746,Q9BQT9
CLTA,HGNC:2090,CLTA,9,protein-coding gene,gene with protein product,,,ENSG00000122705,1211,P09496
CLTB,HGNC:2091,CLTB,5,protein-coding gene,gene with protein product,,,ENSG00000175416,1212,P09497
CLTC,HGNC:2092,CLTC,17,protein-coding gene,gene with protein product,,,ENSG00000141367,1213,Q00610
CLTCL1,HGNC:2093,CLTCL1,22,protein-coding gene,gene with protein product,,,ENSG00000070371,8218,P53675
CLTRN,HGNC:29437,CLTRN,X,protein-coding gene,gene with protein product,,2017-12-11,ENSG00000147003,57393,Q9HBJ8
CLU,HGNC:2095,CLU,8,protein-coding gene,gene with protein product,,,ENSG00000120885,1191,P10909
CLUAP1,HGNC:19009,CLUAP1,16,protein-coding gene,gene with protein product,,,ENSG00000103351,23059,Q96AJ1
CLUH,HGNC:29094,CLUH,17,protein-coding gene,gene with protein product,,2012-11-30,ENSG00000132361,23277,O75153
CLUHP1,HGNC:38416,CLUHP1,Y,pseudogene,pseudogene,,2012-11-30,ENSG00000238191,100418708,
CLUHP2,HGNC:38453,CLUHP2,Y,pseudogene,pseudogene,,2012-11-30,ENSG00000228945,100418709,
CLUHP3,HGNC:28447,CLUHP3,16,pseudogene,pseudogene,,2012-11-30,ENSG00000131797,100132341,Q96NS8
CLUHP4,HGNC:38470,CLUHP4,4,pseudogene,pseudogene,,2012-11-30,ENSG00000249003,100418711,
CLUHP5,HGNC:38471,CLUHP5,10,pseudogene,pseudogene,,2012-11-30,ENSG00000230468,100418745,
CLUHP6,HGNC:51571,CLUHP6,18,pseudogene,pseudogene,,,ENSG00000265279,100418754,
CLUHP7,HGNC:51570,CLUHP7,7,pseudogene,pseudogene,,,,100418719,
CLUHP8,HGNC:51573,CLUHP8,12,pseudogene,pseudogene,,,ENSG00000258278,100418733,
CLUHP9,HGNC:51572,CLUHP9,13,pseudogene,pseudogene,,,,100418742,
CLUHP10,HGNC:51574,CLUHP10,3,pseudogene,pseudogene,,,ENSG00000282511,107161230,
CLUHP11,HGNC:51806,CLUHP11,16,pseudogene,pseudogene,,,ENSG00000278138,100418756,
CLUL1,HGNC:2096,CLUL1,18,protein-coding gene,gene with protein product,,,ENSG00000079101,27098,Q15846
CLVS1,HGNC:23139,CLVS1,8,protein-coding gene,gene with protein product,,2009-10-14,ENSG00000177182,157807,Q8IUQ0
CLVS2,HGNC:23046,CLVS2,6,protein-coding gene,gene with protein product,,2009-10-14,ENSG00000146352,134829,Q5SYC1
CLYBL,HGNC:18355,CLYBL,13,protein-coding gene,gene with protein product,,,ENSG00000125246,171425,Q8N0X4
CLYBL-AS1,HGNC:39893,CLYBL-AS1,13,non-coding RNA,"RNA, long non-coding",,,ENSG00000234303,101927465,
CLYBL-AS2,HGNC:39894,CLYBL-AS2,13,non-coding RNA,"RNA, long non-coding",,,ENSG00000227659,100874063,
CMA1,HGNC:2097,CMA1,14,protein-coding gene,gene with protein product,,,ENSG00000092009,1215,P23946
CMAHP,HGNC:2098,CMAHP,6,pseudogene,pseudogene,,2011-04-28,ENSG00000168405,8418,Q9Y471
CMAS,HGNC:18290,CMAS,12,protein-coding gene,gene with protein product,,,ENSG00000111726,55907,Q8NFW8
CMBL,HGNC:25090,CMBL,5,protein-coding gene,gene with protein product,,,ENSG00000164237,134147,Q96DG6
CMC1,HGNC:28783,CMC1,3,protein-coding gene,gene with protein product,,2008-06-20,ENSG00000187118,152100,Q7Z7K0
CMC2,HGNC:24447,CMC2,16,protein-coding gene,gene with protein product,,2012-02-14,ENSG00000103121,56942,Q9NRP2
CMC4,HGNC:35428,CMC4,X,protein-coding gene,gene with protein product,,2012-10-15,ENSG00000182712,100272147,P56277
CMIP,HGNC:24319,CMIP,16,protein-coding gene,gene with protein product,,,ENSG00000153815,80790,Q8IY22
CMKLR1,HGNC:2121,CMKLR1,12,protein-coding gene,gene with protein product,,,ENSG00000174600,1240,Q99788
CMKLR2,HGNC:4463,CMKLR2,2,protein-coding gene,gene with protein product,,2021-04-23,ENSG00000183671,2825,P46091
CMPK1,HGNC:18170,CMPK1,1,protein-coding gene,gene with protein product,,2008-01-25,ENSG00000162368,51727,P30085
CMPK2,HGNC:27015,CMPK2,2,protein-coding gene,gene with protein product,,,ENSG00000134326,129607,Q5EBM0
CMSS1,HGNC:28666,CMSS1,3,protein-coding gene,gene with protein product,,2012-09-20,ENSG00000184220,84319,Q9BQ75
CMTM1,HGNC:19172,CMTM1,16,protein-coding gene,gene with protein product,,2005-11-08,ENSG00000089505,113540,Q8IZ96
CMTM2,HGNC:19173,CMTM2,16,protein-coding gene,gene with protein product,,2005-11-08,ENSG00000140932,146225,Q8TAZ6
CMTM3,HGNC:19174,CMTM3,16,protein-coding gene,gene with protein product,,2005-11-08,ENSG00000140931,123920,Q96MX0
CMTM4,HGNC:19175,CMTM4,16,protein-coding gene,gene with protein product,,2005-11-08,ENSG00000183723,146223,Q8IZR5
CMTM5,HGNC:19176,CMTM5,14,protein-coding gene,gene with protein product,,2005-11-08,ENSG00000166091,116173,Q96DZ9
CMTM6,HGNC:19177,CMTM6,3,protein-coding gene,gene with protein product,,2005-11-08,ENSG00000091317,54918,Q9NX76
CMTM7,HGNC:19178,CMTM7,3,protein-coding gene,gene with protein product,,2005-11-08,ENSG00000153551,112616,Q96FZ5
CMTM8,HGNC:19179,CMTM8,3,protein-coding gene,gene with protein product,,2005-11-08,ENSG00000170293,152189,Q8IZV2
CMTR1,HGNC:21077,CMTR1,6,protein-coding gene,gene with protein product,,2013-07-23,ENSG00000137200,23070,Q8N1G2
CMTR2,HGNC:25635,CMTR2,16,protein-coding gene,gene with protein product,,2013-07-23,ENSG00000180917,55783,Q8IYT2
CMYA5,HGNC:14305,CMYA5,5,protein-coding gene,gene with protein product,,,ENSG00000164309,202333,Q8N3K9
CNBD1,HGNC:26663,CNBD1,8,protein-coding gene,gene with protein product,,,ENSG00000176571,168975,Q8NA66
CNBD2,HGNC:16145,CNBD2,20,protein-coding gene,gene with protein product,,2012-11-15,ENSG00000149646,140894,Q96M20
CNBP,HGNC:13164,CNBP,3,protein-coding gene,gene with protein product,,2006-06-29,ENSG00000169714,7555,P62633
CNDP1,HGNC:20675,CNDP1,18,protein-coding gene,gene with protein product,,,ENSG00000150656,84735,Q96KN2
CNDP2,HGNC:24437,CNDP2,18,protein-coding gene,gene with protein product,,,ENSG00000133313,55748,Q96KP4
CNEP1R1,HGNC:26759,CNEP1R1,16,protein-coding gene,gene with protein product,,2012-02-01,ENSG00000205423,255919,Q8N9A8
CNEP1R1P1,HGNC:55037,CNEP1R1P1,X,pseudogene,pseudogene,,,ENSG00000180284,100130176,
CNFN,HGNC:30183,CNFN,19,protein-coding gene,gene with protein product,,,ENSG00000105427,84518,Q9BYD5
CNGA1,HGNC:2148,CNGA1,4,protein-coding gene,gene with protein product,,,ENSG00000198515,1259,P29973
CNGA2,HGNC:2149,CNGA2,X,protein-coding gene,gene with protein product,,,ENSG00000183862,1260,Q16280
CNGA3,HGNC:2150,CNGA3,2,protein-coding gene,gene with protein product,,,ENSG00000144191,1261,Q16281
CNGA4,HGNC:2152,CNGA4,11,protein-coding gene,gene with protein product,,2002-01-18,ENSG00000132259,1262,Q8IV77
CNGB1,HGNC:2151,CNGB1,16,protein-coding gene,gene with protein product,,,ENSG00000070729,1258,Q14028
CNGB3,HGNC:2153,CNGB3,8,protein-coding gene,gene with protein product,,,ENSG00000170289,54714,Q9NQW8
CNIH1,HGNC:19431,CNIH1,14,protein-coding gene,gene with protein product,,2013-08-28,ENSG00000100528,10175,O95406
CNIH2,HGNC:28744,CNIH2,11,protein-coding gene,gene with protein product,,,ENSG00000174871,254263,Q6PI25
CNIH3,HGNC:26802,CNIH3,1,protein-coding gene,gene with protein product,,,ENSG00000143786,149111,Q8TBE1
CNIH3-AS1,HGNC:41163,CNIH3-AS1,1,non-coding RNA,"RNA, long non-coding",,,ENSG00000229400,105373106,
CNIH3-AS2,HGNC:41162,CNIH3-AS2,1,non-coding RNA,"RNA, long non-coding",,,ENSG00000233384,102723817,
CNIH4,HGNC:25013,CNIH4,1,protein-coding gene,gene with protein product,,,ENSG00000143771,29097,Q9P003
CNKSR1,HGNC:19700,CNKSR1,1,protein-coding gene,gene with protein product,,,ENSG00000142675,10256,Q969H4
CNKSR2,HGNC:19701,CNKSR2,X,protein-coding gene,gene with protein product,,,ENSG00000149970,22866,Q8WXI2
CNKSR3,HGNC:23034,CNKSR3,6,protein-coding gene,gene with protein product,,2005-04-11,ENSG00000153721,154043,Q6P9H4
CNMD,HGNC:17005,CNMD,13,protein-coding gene,gene with protein product,,2016-10-20,ENSG00000136110,11061,O75829
CNN1,HGNC:2155,CNN1,19,protein-coding gene,gene with protein product,,,ENSG00000130176,1264,P51911
CNN2,HGNC:2156,CNN2,19,protein-coding gene,gene with protein product,,,ENSG00000064666,1265,Q99439
CNN2P1,HGNC:39526,CNN2P1,22,pseudogene,pseudogene,,,ENSG00000227201,646467,
CNN2P2,HGNC:39527,CNN2P2,9,pseudogene,pseudogene,,,ENSG00000227069,642888,
CNN2P3,HGNC:39528,CNN2P3,9,pseudogene,pseudogene,,,ENSG00000235832,392343,
CNN2P4,HGNC:39529,CNN2P4,9,pseudogene,pseudogene,,,ENSG00000213816,647507,
CNN2P6,HGNC:39531,CNN2P6,3,pseudogene,pseudogene,,,ENSG00000213854,339897,
CNN2P7,HGNC:39532,CNN2P7,21,pseudogene,pseudogene,,,ENSG00000215562,391266,
CNN2P8,HGNC:39533,CNN2P8,2,pseudogene,pseudogene,,,ENSG00000213355,205272,
CNN2P9,HGNC:39534,CNN2P9,6,pseudogene,pseudogene,,,ENSG00000213149,441166,
CNN2P10,HGNC:39535,CNN2P10,1,pseudogene,pseudogene,,,ENSG00000232223,646693,
CNN2P11,HGNC:39536,CNN2P11,2,pseudogene,pseudogene,,,ENSG00000237383,100689296,
CNN2P12,HGNC:39834,CNN2P12,13,pseudogene,pseudogene,,,ENSG00000204718,100131550,
CNN3,HGNC:2157,CNN3,1,protein-coding gene,gene with protein product,,,ENSG00000117519,1266,Q15417
CNN3-DT,HGNC:54176,CNN3-DT,1,non-coding RNA,"RNA, long non-coding",,,ENSG00000235501,729970,
CNN3P1,HGNC:38666,CNN3P1,6,pseudogene,pseudogene,,,ENSG00000218868,643875,
CNNM1,HGNC:102,CNNM1,10,protein-coding gene,gene with protein product,,,ENSG00000119946,26507,Q9NRU3
CNNM2,HGNC:103,CNNM2,10,protein-coding gene,gene with protein product,,,ENSG00000148842,54805,Q9H8M5
CNNM3,HGNC:104,CNNM3,2,protein-coding gene,gene with protein product,,,ENSG00000168763,26505,Q8NE01
CNNM3-DT,HGNC:53592,CNNM3-DT,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000273265,100506036,
CNNM4,HGNC:105,CNNM4,2,protein-coding gene,gene with protein product,,,ENSG00000158158,26504,Q6P4Q7
CNOT1,HGNC:7877,CNOT1,16,protein-coding gene,gene with protein product,,,ENSG00000125107,23019,A5YKK6
CNOT2,HGNC:7878,CNOT2,12,protein-coding gene,gene with protein product,,,ENSG00000111596,4848,Q9NZN8
CNOT3,HGNC:7879,CNOT3,19,protein-coding gene,gene with protein product,,,ENSG00000088038,4849,O75175
CNOT4,HGNC:7880,CNOT4,7,protein-coding gene,gene with protein product,,,ENSG00000080802,4850,O95628
CNOT4P1,HGNC:39272,CNOT4P1,13,pseudogene,pseudogene,,,ENSG00000236704,100874389,
CNOT6,HGNC:14099,CNOT6,5,protein-coding gene,gene with protein product,,,ENSG00000113300,57472,Q9ULM6
CNOT6L,HGNC:18042,CNOT6L,4,protein-coding gene,gene with protein product,,,ENSG00000138767,246175,Q96LI5
CNOT6LP1,HGNC:32355,CNOT6LP1,15,pseudogene,pseudogene,,,ENSG00000230183,729530,
CNOT7,HGNC:14101,CNOT7,8,protein-coding gene,gene with protein product,,,ENSG00000198791,29883,Q9UIV1
CNOT7P1,HGNC:44248,CNOT7P1,X,pseudogene,pseudogene,,,ENSG00000233229,100421338,
CNOT7P2,HGNC:44249,CNOT7P2,1,pseudogene,pseudogene,,,ENSG00000232185,100132332,
CNOT8,HGNC:9207,CNOT8,5,protein-coding gene,gene with protein product,,,ENSG00000155508,9337,Q9UFF9
CNOT9,HGNC:10445,CNOT9,2,protein-coding gene,gene with protein product,,2016-04-12,ENSG00000144580,9125,Q92600
CNOT10,HGNC:23817,CNOT10,3,protein-coding gene,gene with protein product,,,ENSG00000182973,25904,Q9H9A5
CNOT10-AS1,HGNC:41031,CNOT10-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000251224,100874109,
CNOT11,HGNC:25217,CNOT11,2,protein-coding gene,gene with protein product,,2013-01-24,ENSG00000158435,55571,Q9UKZ1
CNP,HGNC:2158,CNP,17,protein-coding gene,gene with protein product,,,ENSG00000173786,1267,P09543
CNPPD1,HGNC:25220,CNPPD1,2,protein-coding gene,gene with protein product,,2011-03-23,ENSG00000115649,27013,Q9BV87
CNPY1,HGNC:27786,CNPY1,7,protein-coding gene,gene with protein product,,,ENSG00000146910,285888,Q3B7I2
CNPY2,HGNC:13529,CNPY2,12,protein-coding gene,gene with protein product,,2007-10-22,ENSG00000257727,10330,Q9Y2B0
CNPY2-AS1,HGNC:55480,CNPY2-AS1,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000257303,112268098,
CNPY3,HGNC:11968,CNPY3,6,protein-coding gene,gene with protein product,,2007-10-22,ENSG00000137161,10695,Q9BT09
CNPY4,HGNC:28631,CNPY4,7,protein-coding gene,gene with protein product,,,ENSG00000166997,245812,Q8N129
CNR1,HGNC:2159,CNR1,6,protein-coding gene,gene with protein product,,,ENSG00000118432,1268,P21554
CNR2,HGNC:2160,CNR2,1,protein-coding gene,gene with protein product,,,ENSG00000188822,1269,P34972
CNRIP1,HGNC:24546,CNRIP1,2,protein-coding gene,gene with protein product,,2007-11-29,ENSG00000119865,25927,Q96F85
CNST,HGNC:26486,CNST,1,protein-coding gene,gene with protein product,,2009-11-03,ENSG00000162852,163882,Q6PJW8
CNTD1,HGNC:26847,CNTD1,17,protein-coding gene,gene with protein product,,2006-03-31,ENSG00000176563,124817,Q8N815
CNTF,HGNC:2169,CNTF,11,protein-coding gene,gene with protein product,,,ENSG00000242689,1270,P26441
CNTFR,HGNC:2170,CNTFR,9,protein-coding gene,gene with protein product,,,ENSG00000122756,1271,P26992
CNTFR-AS1,HGNC:48712,CNTFR-AS1,9,non-coding RNA,"RNA, long non-coding",,,ENSG00000237159,415056,
CNTLN,HGNC:23432,CNTLN,9,protein-coding gene,gene with protein product,,2008-02-08,ENSG00000044459,54875,Q9NXG0
CNTN1,HGNC:2171,CNTN1,12,protein-coding gene,gene with protein product,,,ENSG00000018236,1272,Q12860
CNTN2,HGNC:2172,CNTN2,1,protein-coding gene,gene with protein product,,,ENSG00000184144,6900,Q02246
CNTN3,HGNC:2173,CNTN3,3,protein-coding gene,gene with protein product,,,ENSG00000113805,5067,Q9P232
CNTN4,HGNC:2174,CNTN4,3,protein-coding gene,gene with protein product,,,ENSG00000144619,152330,Q8IWV2
CNTN4-AS1,HGNC:39985,CNTN4-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000237990,100873975,
CNTN4-AS2,HGNC:39986,CNTN4-AS2,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000227588,100873976,
CNTN5,HGNC:2175,CNTN5,11,protein-coding gene,gene with protein product,,,ENSG00000149972,53942,O94779
CNTN6,HGNC:2176,CNTN6,3,protein-coding gene,gene with protein product,,,ENSG00000134115,27255,Q9UQ52
CNTNAP1,HGNC:8011,CNTNAP1,17,protein-coding gene,gene with protein product,,,ENSG00000108797,8506,P78357
CNTNAP2,HGNC:13830,CNTNAP2,7,protein-coding gene,gene with protein product,,,ENSG00000174469,26047,Q9UHC6
CNTNAP2-AS1,HGNC:40657,CNTNAP2-AS1,7,non-coding RNA,"RNA, long non-coding",,,ENSG00000236795,101928700,
CNTNAP3,HGNC:13834,CNTNAP3,9,protein-coding gene,gene with protein product,,,ENSG00000106714,79937,Q9BZ76
CNTNAP3B,HGNC:32035,CNTNAP3B,9,protein-coding gene,gene with protein product,,,ENSG00000154529,728577,Q96NU0
CNTNAP3C,HGNC:53878,CNTNAP3C,9,protein-coding gene,gene with protein product,,,ENSG00000283378,100289279,
CNTNAP3P1,HGNC:49591,CNTNAP3P1,9,pseudogene,pseudogene,,,ENSG00000273509,100420787,
CNTNAP3P2,HGNC:49589,CNTNAP3P2,9,pseudogene,pseudogene,,,ENSG00000276386,643827,
CNTNAP3P3,HGNC:49580,CNTNAP3P3,9,pseudogene,pseudogene,,,,106660623,
CNTNAP3P4,HGNC:49581,CNTNAP3P4,9,pseudogene,pseudogene,,,,107403150,
CNTNAP3P5,HGNC:49588,CNTNAP3P5,9,pseudogene,pseudogene,,,ENSG00000278213,100420786,
CNTNAP3P6,HGNC:49583,CNTNAP3P6,9,pseudogene,pseudogene,,,,100420776,
CNTNAP3P7,HGNC:49585,CNTNAP3P7,9,pseudogene,pseudogene,,,ENSG00000287276,100420777,
CNTNAP3P8,HGNC:49586,CNTNAP3P8,9,pseudogene,pseudogene,,,,100420785,
CNTNAP3P9,HGNC:49587,CNTNAP3P9,9,pseudogene,pseudogene,,,,107403148,
CNTNAP4,HGNC:18747,CNTNAP4,16,protein-coding gene,gene with protein product,,,ENSG00000152910,85445,Q9C0A0
CNTNAP5,HGNC:18748,CNTNAP5,2,protein-coding gene,gene with protein product,,,ENSG00000155052,129684,Q8WYK1
CNTNAP5-DT,HGNC:55794,CNTNAP5-DT,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000228400,107985820,
CNTRL,HGNC:1858,CNTRL,9,protein-coding gene,gene with protein product,,2011-05-23,ENSG00000119397,11064,Q7Z7A1
CNTROB,HGNC:29616,CNTROB,17,protein-coding gene,gene with protein product,,,ENSG00000170037,116840,Q8N137
COA1,HGNC:21868,COA1,7,protein-coding gene,gene with protein product,,2012-06-25,ENSG00000106603,55744,Q9GZY4
COA3,HGNC:24990,COA3,17,protein-coding gene,gene with protein product,,2012-08-07,ENSG00000183978,28958,Q9Y2R0
COA4,HGNC:24604,COA4,11,protein-coding gene,gene with protein product,,2012-10-15,ENSG00000181924,51287,Q9NYJ1
COA5,HGNC:33848,COA5,2,protein-coding gene,gene with protein product,,2011-07-19,ENSG00000183513,493753,Q86WW8
COA6,HGNC:18025,COA6,1,protein-coding gene,gene with protein product,,2012-10-15,ENSG00000168275,388753,Q5JTJ3
COA6-AS1,HGNC:40825,COA6-AS1,1,non-coding RNA,"RNA, long non-coding",,,ENSG00000231663,101927765,
COA7,HGNC:25716,COA7,1,protein-coding gene,gene with protein product,,2014-01-03,ENSG00000162377,65260,Q96BR5
COA8,HGNC:20492,COA8,14,protein-coding gene,gene with protein product,,2019-04-09,ENSG00000256053,84334,Q96IL0
COASY,HGNC:29932,COASY,17,protein-coding gene,gene with protein product,,,ENSG00000068120,80347,Q13057
COBL,HGNC:22199,COBL,7,protein-coding gene,gene with protein product,,,ENSG00000106078,23242,O75128
COBLL1,HGNC:23571,COBLL1,2,protein-coding gene,gene with protein product,,,ENSG00000082438,22837,Q53SF7
COBLP1,HGNC:55060,COBLP1,X,pseudogene,pseudogene,,,ENSG00000231270,392529,
COCH,HGNC:2180,COCH,14,protein-coding gene,gene with protein product,,,ENSG00000100473,1690,O43405
COG1,HGNC:6545,COG1,17,protein-coding gene,gene with protein product,,2002-05-31,ENSG00000166685,9382,Q8WTW3
COG2,HGNC:6546,COG2,1,protein-coding gene,gene with protein product,,2002-05-31,ENSG00000135775,22796,Q14746
COG3,HGNC:18619,COG3,13,protein-coding gene,gene with protein product,,,ENSG00000136152,83548,Q96JB2
COG4,HGNC:18620,COG4,16,protein-coding gene,gene with protein product,,,ENSG00000103051,25839,Q9H9E3
COG5,HGNC:14857,COG5,7,protein-coding gene,gene with protein product,,2002-05-10,ENSG00000164597,10466,Q9UP83
COG6,HGNC:18621,COG6,13,protein-coding gene,gene with protein product,,,ENSG00000133103,57511,Q9Y2V7
COG7,HGNC:18622,COG7,16,protein-coding gene,gene with protein product,,,ENSG00000168434,91949,P83436
COG8,HGNC:18623,COG8,16,protein-coding gene,gene with protein product,,,ENSG00000213380,84342,Q96MW5
COIL,HGNC:2184,COIL,17,protein-coding gene,gene with protein product,,,ENSG00000121058,8161,P38432
COILP1,HGNC:19927,COILP1,14,pseudogene,pseudogene,,2006-09-21,ENSG00000259100,317784,
COILP2,HGNC:25389,COILP2,4,pseudogene,pseudogene,,,,494447,
COL1A1,HGNC:2197,COL1A1,17,protein-coding gene,gene with protein product,,,ENSG00000108821,1277,P02452
COL1A2,HGNC:2198,COL1A2,7,protein-coding gene,gene with protein product,,,ENSG00000164692,1278,P08123
COL1A2-AS1,HGNC:53133,COL1A2-AS1,7,non-coding RNA,"RNA, long non-coding",,,,101927525,
COL1AR,HGNC:2199,COL1AR,15,other,unknown,,,,1279,
COL2A1,HGNC:2200,COL2A1,12,protein-coding gene,gene with protein product,,,ENSG00000139219,1280,P02458
COL3A1,HGNC:2201,COL3A1,2,protein-coding gene,gene with protein product,,,ENSG00000168542,1281,P02461
COL4A1,HGNC:2202,COL4A1,13,protein-coding gene,gene with protein product,,,ENSG00000187498,1282,P02462
COL4A2,HGNC:2203,COL4A2,13,protein-coding gene,gene with protein product,,,ENSG00000134871,1284,P08572
COL4A2-AS1,HGNC:40156,COL4A2-AS1,13,non-coding RNA,"RNA, long non-coding",,,ENSG00000232814,100874203,
COL4A2-AS2,HGNC:39849,COL4A2-AS2,13,non-coding RNA,"RNA, long non-coding",,,ENSG00000224821,100129836,
COL4A3,HGNC:2204,COL4A3,2,protein-coding gene,gene with protein product,,,ENSG00000169031,1285,Q01955
COL4A4,HGNC:2206,COL4A4,2,protein-coding gene,gene with protein product,,,ENSG00000081052,1286,P53420
COL4A5,HGNC:2207,COL4A5,X,protein-coding gene,gene with protein product,,,ENSG00000188153,1287,P29400
